name,address,pincode,lat,lon,fee_type,vaccine_fees,date,available_capacity_dose1,available_capacity_dose2,min_age_limit,vaccine,slots
WARD 91 Deo Office,Kamaraja Road Bharathi NAGAR,560001,13,77,Free,free,03-06-2021,63,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 91 Deo Office,Kamaraja Road Bharathi NAGAR,560001,13,77,Free,free,04-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 91 Deo Office,Kamaraja Road Bharathi NAGAR,560001,13,77,Free,free,05-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 91 Deo Office,Kamaraja Road Bharathi NAGAR,560001,13,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 110 BBMP Building(smpnag),BBMP Buildind Vasavi Prarthana Mandira OpstAshawath Nagarsampangi Ramanagarbanglore 560027,560001,12,77,Free,free,03-06-2021,65,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 110 BBMP Building(smpnag),BBMP Buildind Vasavi Prarthana Mandira OpstAshawath Nagarsampangi Ramanagarbanglore 560027,560001,12,77,Free,free,04-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 110 BBMP Building(smpnag),BBMP Buildind Vasavi Prarthana Mandira OpstAshawath Nagarsampangi Ramanagarbanglore 560027,560001,12,77,Free,free,05-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 110 BBMP Building(smpnag),BBMP Buildind Vasavi Prarthana Mandira OpstAshawath Nagarsampangi Ramanagarbanglore 560027,560001,12,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 92 BBMP(HAFIZA)SCHOOL),NEAR TASKERT TOWN UPHC,560001,12,77,Free,free,04-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 92 BBMP(HAFIZA)SCHOOL),NEAR TASKERT TOWN UPHC,560001,12,77,Free,free,05-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 92 BBMP(HAFIZA)SCHOOL),NEAR TASKERT TOWN UPHC,560001,12,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 93 VASANTHNAGAR UPHC,19 MV Jayaram Rd Vasanth Nagar,560001,12,77,Free,free,04-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 93 VASANTHNAGAR UPHC,19 MV Jayaram Rd Vasanth Nagar,560001,12,77,Free,free,05-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 93 VASANTHNAGAR UPHC,19 MV Jayaram Rd Vasanth Nagar,560001,12,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Dasappa UPHC,HHS AND HMS COMPLEX CUBBUNPET MAIN ROAD BANGALORE,560002,12,77,Free,free,03-06-2021,16,15,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
VICTORIA,VICTORIA HOSPITAL CAMPUS K R MARKET,560002,12,77,Free,free,03-06-2021,25,25,45,COVISHIELD,09:00AM-10:00AM|10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM
