name,address,pincode,lat,lon,fee_type,vaccine_fees,date,available_capacity_dose1,available_capacity_dose2,min_age_limit,vaccine,slots
Max Hospital Site 1,FC 50 C And D Block Shalimar Place Site Shalimar Bagh New Delhi Delhi 110088,110088,28,77,Paid,COVISHIELD:900,04-06-2021,160,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Dharamshila Narayan Hospital-2,Dharamshila Narayan Hospital Vasundhra Enclave Delhi,110096,28,77,Paid,COVISHIELD:750,03-06-2021,1,0,18,COVISHIELD,09:00AM-12:00PM|12:00PM-03:00PM|03:00PM-06:00PM|06:00PM-09:00PM
Dharamshila Narayan Hospital-2,Dharamshila Narayan Hospital Vasundhra Enclave Delhi,110096,28,77,Paid,COVISHIELD:750,04-06-2021,111,0,18,COVISHIELD,09:00AM-12:00PM|12:00PM-03:00PM|03:00PM-06:00PM|06:00PM-09:00PM
Dharamshila Narayan Hospital-1,Dharmshila Narayan HospitalVasundhra Enclave Delhi,110096,28,77,Paid,COVISHIELD:750,04-06-2021,65,0,18,COVISHIELD,09:00AM-12:00PM|12:00PM-03:00PM|03:00PM-06:00PM|06:00PM-09:00PM
Dr B L Kapur Hospital Site 2,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,03-06-2021,3,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 2,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,04-06-2021,222,48,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 2,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,05-06-2021,485,25,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 1,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,03-06-2021,3,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 1,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,04-06-2021,115,8,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Dr B L Kapur Hospital Site 1,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,05-06-2021,21,10,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 4,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,03-06-2021,564,6,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 4,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,04-06-2021,1039,50,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 4,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,05-06-2021,781,25,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 3,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,03-06-2021,800,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 3,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,04-06-2021,1047,50,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Dr B L Kapur Hospital Site 3,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,110005,28,77,Paid,COVISHIELD:900,05-06-2021,787,25,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-04:00PM
Rajiv Gandhi Cancer Cen SITE 2,Mahinder Kumar Jain Marg Gautam Nagar New Delhi Delhi 110049,110016,28,77,Paid,COVISHIELD:900,04-06-2021,416,0,18,COVISHIELD,09:00AM-10:00AM|10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-04:30PM
Max Hospital SESSION SITE 2,Mandir MargPress Enclave Road Saket New Delhi 110017,110017,28,77,Paid,COVAXIN:1250,04-06-2021,1,0,18,COVAXIN,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
Madhukar Rainbow Hospital P,NEAR MALVIYA NAGAR METRO STATION,110017,28,77,Paid,COVISHIELD:950,04-06-2021,1184,0,18,COVISHIELD,09:30AM-11:30AM|11:30AM-01:30PM|01:30PM-03:30PM|03:30PM-04:30PM
Max Hospital SESSION SITE 8,Mandir MargPress Enclave Road Saket New Delhi 110017,110017,28,77,Paid,COVISHIELD:900,04-06-2021,1,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
Max Hospital SESSION SITE 7,Mandir MargPress Enclave Road Saket New Delhi 110017,110017,28,77,Paid,COVISHIELD:900,04-06-2021,2,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
MOOLCHAND DRIVE THROUGH,Lala Lajpat Rai Marg Near Moolchand Metro Station Block M Lajpat Nagar III Lajpat Nagar New Delhi Delhi,110024,28,77,Paid,COVAXIN:1800,06-06-2021,1,0,18,COVAXIN,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
Mool Chand Site 1,Lala Lajpat Rai Marg Near Moolchand Metro Station Block M Lajpat Nagar III Lajpat Nagar New Delhi Delhi,110024,28,77,Paid,COVAXIN:1450,04-06-2021,40,39,18,COVAXIN,09:00AM-10:00AM|10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-04:30PM
Fortis Escorts SIte 1,Okhla Road Sukhdev Vihar Metro Station New Delhi Delhi,110025,28,77,Paid,COVISHIELD:850,04-06-2021,1,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
FORTIS C DOC CENTRE,B-16 CHIRAG ENCLAVE NEW DELHI -48,110048,28,77,Paid,COVAXIN:1250,04-06-2021,50,10,18,COVISHIELD,09:00AM-10:00AM|10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:30PM
SCI INTERNATIONAL HOSPITAL 2,4 GREATER KAILASH 1 NEAR M BLOCK MARKET,110048,28,77,Paid,COVISHIELD:1000,04-06-2021,135,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
Aakash Drive,Vegas Mall Plot No-6North Pocket 1 Dwarka Sector-14 Delhi-110075,110075,28,77,Paid,COVISHIELD:1400,04-06-2021,367,50,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
Aakash 2,Vegas Mall Plot No-6North Pocket 1 Dwarka Sector-14 Delhi-110075,110075,28,77,Paid,COVISHIELD:1000,04-06-2021,85,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-07:30PM
Aakash Healtcare,Vegas Mall Plot No-6North Pocket 1 Dwarka Sector-14 Delhi-110075,110075,28,77,Paid,COVISHIELD:1000,04-06-2021,205,0,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
